000015175,400
000025219,2476
000035309,2640
000046164,2353
000051259,2765
000051414,2533
000052356,2303
000059335,2506
000066433,2773
000067905,2662
000067908,2567
000069225,2050
000070053,193
000148852,2772
000150595,2622
000154642,2484
000155284,2327
000160033,1409
000160406,1905
000160539,2332
000167651,2333
000167680,341
000168292,2411
000172403,2818
000175325,345
000176133,926
000176134,1586
000186743,2438
000194611,2759
000194997,2412
000217293,2793
000229330,2580
000229849,182
000230743,2322
000232208,325
000234946,2316
000250340,1597
000252027,2608
000252631,2817
000253509,2420
000257485,2541
000258862,2546
000261608,2753
000269901,238
000275151,2477
000280397,127
000291103,239
000291113,231
000291115,209
000291120,2638
000291133,2020
000291305,2308
000291325,2373
000291332,2357
000291334,2559
000291380,2699
000291432,2750
000294077,121
000294081,2089
000294082,414
000320888,2696
000335544,2626
000335848,1854
000340554,2497
000347384,2705
000373313,2455
000375664,234
000384206,2657
000400308,147
000400309,2555
000404908,2437
000408570,2658
000411904,2478
000412215,2462
000412864,2552
000417757,2757
000434078,2504
000438176,2743
000440969,2781
000453138,2782
000456439,2564
000456803,251
000456824,2697
000457137,401
000457322,2397
000457332,2439
000457339,2441
000457341,164
000457343,2444
000457347,2450
000457386,2384
000457399,388
000457413,225
000457455,2585
000457462,2673
000457510,2744
000457514,2423
000457523,2783
000457529,2424
000457934,2642
000459214,2570
000459354,2440
000459363,2409
000460006,2540
000463288,2655
000511233,134
000511243,1923
000511343,373
000511344,113
000511346,112
000511560,2390
000511574,2498
000511581,2530
000511859,2629
000511862,120
000511866,2801
000512009,2641
000512243,2695
000512356,347
000512358,2684
000512482,2745
000512576,2309
000532755,2321
000532879,2430
000532880,2500
000534838,2393
000534842,2545
000545870,2493
000545871,2482
000589807,1819
000589808,1840
000592937,2324
000622281,2386
000645011,2452
000649185,2399
000656315,1615
000656316,1818
000656319,1839
000656320,1841
000663276,2469
000667898,235
000715054,227
000718948,2553
000721738,2598
000729738,2656
000736480,2305
000741279,2317
000745444,2479
000754043,2475
000755846,2323
000761955,2311
000784701,2511
000793562,2401
000793902,2623
000795630,2349
000797506,2292
000807203,2355
000809976,2343
000810230,2597
000830140,2005
000852443,2624
000856149,2387
000856386,2582
000872877,2547
000877164,2312
000883052,2738
000890455,2842
000890705,2432
000890763,2752
000894990,78
000899937,2209
000909468,81
000910049,2507
000918217,85
000923091,2376
000923686,218
000926566,2403
000931079,2426
000947293,1838
000947950,2700
000948175,2789
000949307,2534
000949309,2556
000949449,2816
000953664,2689
000953713,2529
000956848,2400
000958581,2669
000961773,2443
000962182,2402
000967715,2341
000967717,2302
000967801,2515
000973457,2550
000975007,2724
000977570,2568
000981227,2509
000981650,2554
000983918,2473
000994794,2543
001001289,2722
001027085,2723
001027087,2728
001049055,2371
001121416,2446
001124824,2574
001173405,2542
001177192,2416
001177222,2375
001178314,124
001183215,2536
001183217,2537
001188792,2385
001192391,408
001216293,2338
001230341,2459
001243287,2344
001243597,2414
001271459,2326
001276061,2729
001287841,2727
001292427,233
001292500,243
001297923,2366
001302028,1943
001306696,2489
001324511,2301
001341477,2417
001348188,291
001379674,2667
001409524,2334
001409527,2335
001409530,2337
001409532,2336
001410763,1889
001412052,2575
001420157,1888
001421757,2329
001449186,2824
001451005,2431
001453986,1624
001472601,1803
001472713,2342
001502002,2563
001507732,2212
001515057,2522
001523718,290
001523766,250
001523767,252
000848130,304
000456915,649
000017912,2074
000284011,1835
000291310,2024
000150765,2065
000331477,1992
000456821,2840
000456828,2798
000457278,1934
000457288,2022
000457308,1972
000457313,1976
000496176,2875
000511241,421
000511255,2966
000511261,2844
000511261,2839
000511266,2639
000511268,2884
000512166,1990
000512169,1961
000512174,2042
000512175,1986
000512403,344
000773699,2094
000923171,2734
000923475,2831
000949268,2075
000956458,2037
001162530,2852
001189824,2023
001193132,2678
001193377,2144
001193431,2747
001193742,2799
001198381,2692
001200814,2823
001208492,2802
001219814,2808
001222900,1929
001235756,2762
001238532,2792
001251882,2909
001293747,297
001304481,2085
001497162,2797
001515699,3112
001526253,2883
001526299,2746
001536942,2740
001484656,2810
001193136,2680
001542623,2822
001542647,1968
000457298,1942
000457297,2002
001542937,1973
001174436,2015
001542963,2045
